"Year","Citations","Title","DOI","OAStatus","OAUrl","PrimaryPDF","Landing","Authors","Topic","Volume","Issue","FirstPage","LastPage"
"2025","0","A Behavioral Model for High-Speed 4:1 Analog Multiplexers, Utilizing Stochastic Modelfitting","https://doi.org/10.1109/tcsii.2025.3591759","hybrid","https://doi.org/10.1109/tcsii.2025.3591759",,"https://doi.org/10.1109/tcsii.2025.3591759","Jonathan Andree; Giresse T. Belinga Tamokeu; Samuel Wazynski; Markus Grözing; Christian Schmidt","Advanced MIMO Systems Optimization","72","12","1897","1901"
"2024","0","IEEE Circuits and Systems Society Information","https://doi.org/10.1109/tcsii.2023.3346152","bronze","https://ieeexplore.ieee.org/ielx7/8920/10385034/10385035.pdf","https://ieeexplore.ieee.org/ielx7/8920/10385034/10385035.pdf","https://doi.org/10.1109/tcsii.2023.3346152","Manuel Delgado-Restituto; Hoon Sunwoo; Amara Amara; Zaman Fakhrul; Rokhani","Electrical and Electromagnetic Research","71","1","C3","C3"
"2025","0","BooLUT-CIM: A 52.4 TOPS/W Radix-4 Booth-LUT Digital CIM With Negative-Magnitude-Bits Inversion Storage","https://doi.org/10.1109/tcsii.2025.3590745","hybrid","https://doi.org/10.1109/tcsii.2025.3590745",,"https://doi.org/10.1109/tcsii.2025.3590745","Yi Yang; Xiao Tan; Jinwu Chen; Yan‐Jun Du; Tianhui Jiao","Power Systems and Technologies","72","11","1615","1619"
"2025","0","Cancellation of Quantization Noise in Sigma Delta Modulators Through Modeling of Non-Linearities","https://doi.org/10.1109/tcsii.2025.3594847","green","https://pure.tue.nl/ws/files/379134109/Cancellation_of_Quantization_Noise_in_Sigma_Delta_Modulators_Through_Modeling_of_Non-Linearities.pdf",,"https://doi.org/10.1109/tcsii.2025.3594847","Stijn Ringeling; Marco Fattori; Robert J. Rutten; Shagun Bajoria; Lucien J. Breems","Analog and Mixed-Signal Circuit Design","72","12","1862","1866"
"2024","0","IEEE Circuits and Systems Society Information","https://doi.org/10.1109/tcsii.2024.3398393","bronze","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537171.pdf","https://ieeexplore.ieee.org/ielx7/8920/10537170/10537171.pdf","https://doi.org/10.1109/tcsii.2024.3398393","","Electrical and Electromagnetic Research","71","5","C3","C3"
"2024","0","Table of Contents","https://doi.org/10.1109/tcsii.2024.3359073","bronze","https://ieeexplore.ieee.org/ielx7/8920/10423416/10423567.pdf","https://ieeexplore.ieee.org/ielx7/8920/10423416/10423567.pdf","https://doi.org/10.1109/tcsii.2024.3359073","","Diverse Scientific and Economic Studies","71","2","C1","C4"
"2024","0","Table of Contents","https://doi.org/10.1109/tcsii.2024.3369257","bronze","https://ieeexplore.ieee.org/ielx7/8920/10460332/10460353.pdf","https://ieeexplore.ieee.org/ielx7/8920/10460332/10460353.pdf","https://doi.org/10.1109/tcsii.2024.3369257","Z Zhang; X Tong; C Liang; Y Wang; W Zhang","Diverse Scientific and Economic Studies","71","3","C1","C4"
"2024","0","IEEE Transactions on Circuits and Systems--II: Express Briefs Publication Information","https://doi.org/10.1109/tcsii.2024.3359075","bronze","https://ieeexplore.ieee.org/ielx7/8920/10423416/10423417.pdf","https://ieeexplore.ieee.org/ielx7/8920/10423416/10423417.pdf","https://doi.org/10.1109/tcsii.2024.3359075","Edoardo Bonizzoni; Antonio Liscidini; Krishna Kanth; Daniel Burbano; Joao Catalao","Low-power high-performance VLSI design","71","2","C2","C2"
"2025","0","Analysis of Fractional Spurs in a DTC-Assisted ADPLL Exploiting Crystal-Oscillator Waveform With Harmonic-Based Digital Predistortion","https://doi.org/10.1109/tcsii.2025.3584351","hybrid","https://doi.org/10.1109/tcsii.2025.3584351",,"https://doi.org/10.1109/tcsii.2025.3584351","C.-N.J. Liu; Robert Bogdan Staszewski; Teerachot Siriburanon","Semiconductor Lasers and Optical Devices","72","11","1560","1564"
"2024","0","IEEE Transactions on Circuits and Systems--II: Express Briefs Publication Information","https://doi.org/10.1109/tcsii.2024.3376179","bronze","https://ieeexplore.ieee.org/ielx7/8920/10480869/10480894.pdf","https://ieeexplore.ieee.org/ielx7/8920/10480869/10480894.pdf","https://doi.org/10.1109/tcsii.2024.3376179","Edoardo Bonizzoni; Antonio Liscidini; Krishna Kanth; Daniel Burbano; Joao Catalao","Low-power high-performance VLSI design","71","4","C2","C2"
"2024","0","Introducing IEEE Collabratec","https://doi.org/10.1109/tcsii.2024.3377851","bronze","https://ieeexplore.ieee.org/ielx7/8920/10480869/10480903.pdf","https://ieeexplore.ieee.org/ielx7/8920/10480869/10480903.pdf","https://doi.org/10.1109/tcsii.2024.3377851","","Educational Robotics and Engineering","71","4","2499","2499"
"2025","0","Continual Learning-Guided Adaptive Approximate Computing for Real-Time MEA Spike Detection","https://doi.org/10.1109/tcsii.2025.3643314","hybrid","https://doi.org/10.1109/tcsii.2025.3643314",,"https://doi.org/10.1109/tcsii.2025.3643314","Mishal Fatima Minhas; Falah Awwad; Osman Hasan; Muhammad Shafique","Advanced Memory and Neural Computing","73","2","203","207"
"2024","0","TechRxiv: Share Your Preprint Research with the World!","https://doi.org/10.1109/tcsii.2024.3372360","bronze","https://ieeexplore.ieee.org/ielx7/8920/10460332/10460338.pdf","https://ieeexplore.ieee.org/ielx7/8920/10460332/10460338.pdf","https://doi.org/10.1109/tcsii.2024.3372360","","Academic Publishing and Open Access","71","3","1744","1744"
"2024","0","IEEE Circuits and Systems Society Information","https://doi.org/10.1109/tcsii.2024.3376181","bronze","https://ieeexplore.ieee.org/ielx7/8920/10480869/10480895.pdf","https://ieeexplore.ieee.org/ielx7/8920/10480869/10480895.pdf","https://doi.org/10.1109/tcsii.2024.3376181","Manuel Delgado-Restituto; Hoon Sunwoo; Amara Amara; Zaman Fakhrul; Rokhani","Electrical and Electromagnetic Research","71","4","C3","C3"
"2025","0","Frequency Synchronization Techniques for DC–DC Converters With Time-Based Control","https://doi.org/10.1109/tcsii.2025.3632634","green","https://hdl.handle.net/11311/1309882",,"https://doi.org/10.1109/tcsii.2025.3632634","Alessandro Bertolini; Paolo Melillo; Mauro Leoncini; Alessandro Gasparini; Salvatore Levantino","Advancements in PLL and VCO Technologies","73","1","93","97"
